名称,网址,时间,浏览量,售出,交易成功
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.30.BoC6nZ&id=16285405705,2014-02-12 13:56,340529,1115,728
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:32,170992,391,248
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:32,170993,391,248
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:32,170994,391,248
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:32,170995,391,248
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:34,170997,391,248
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:36,170999,391,248
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:38,171004,391,248
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:39,171006,391,248
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:42,171011,390,249
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:43,171015,390,249
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:45,171017,391,249
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:46,171019,391,249
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:48,171022,391,249
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:49,171024,391,249
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:51,171027,391,249
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:53,171029,391,249
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:55,171033,391,249
aaa,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.34.BoC6nZ&id=18403991119,2014-02-12 13:56,171034,391,249
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:32,203927,324,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:32,203928,324,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:34,203930,324,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:36,203932,324,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:38,203935,324,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:39,203936,324,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:42,203939,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:43,203941,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:45,203943,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:46,203944,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:48,203946,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:49,203950,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:51,203952,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:53,203953,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:55,203955,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.36.BoC6nZ&id=18403871733,2014-02-12 13:56,203956,323,224
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:32,100074,291,190
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:32,100075,291,190
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:34,100077,291,190
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:36,100079,291,190
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:38,100081,291,190
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:39,100082,291,190
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:42,100084,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:43,100086,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:45,100088,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:46,100089,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:48,100091,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:49,100093,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:51,100096,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:53,100097,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:55,100099,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.38.BoC6nZ&id=17532491334,2014-02-12 13:56,100100,291,191
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:32,207416,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:32,207417,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:34,207419,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:36,207421,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:38,207425,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:39,207426,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:42,207428,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:43,207431,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:45,207433,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:46,207434,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:48,207436,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:49,207438,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:51,207440,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:53,207441,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:55,207443,221,141
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.40.BoC6nZ&id=17795244312,2014-02-12 13:56,207444,221,141
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:32,71790,211,136
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:34,71792,211,136
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:36,71794,211,136
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:38,71796,211,136
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:39,71797,211,136
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:42,71799,211,137
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:43,71801,211,137
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:45,71803,211,137
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:46,71804,211,137
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:48,71806,211,137
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:49,71808,211,137
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:51,71810,211,137
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:53,71811,211,137
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:55,71814,211,137
bbb,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.42.BoC6nZ&id=8981680094,2014-02-12 13:56,71815,211,137
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:32,13866,201,130
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:34,13868,201,130
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:36,13870,201,130
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:38,13872,201,130
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:39,13873,201,130
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:42,13875,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:43,13877,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:45,13879,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:46,13880,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:48,13882,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:49,13884,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:51,13886,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:53,13887,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:55,13889,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.44.BoC6nZ&id=18362907281,2014-02-12 13:56,13890,201,131
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:32,372986,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:34,372988,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:36,372990,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:38,372992,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:39,372993,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:42,372995,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:43,372997,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:45,372999,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:46,373000,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:48,373002,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:49,373004,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:51,373006,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:53,373007,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:55,373011,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.46.BoC6nZ&id=16106082142,2014-02-12 13:56,373012,153,110
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:32,542359,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:34,542361,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:36,542363,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:38,542365,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:39,542366,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:42,542368,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:43,542370,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:45,542372,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:46,542373,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:48,542375,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:49,542377,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:51,542379,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:53,542380,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:55,542382,82,52
,http://item.taobao.com/item.htm?spm=a1z10.3.w4002-4896530536.48.BoC6nZ&id=13570505042,2014-02-12 13:56,542384,82,52
